rbt_id,lane,seq,x,y
RBT04,0,71,617.017,2943.698
RBT04,0,72,620.153,2939.429
RBT04,0,73,623.51,2935.331
RBT04,0,74,627.079,2931.417
RBT04,0,75,630.85,2927.696
RBT04,0,76,634.811,2924.179
RBT04,0,77,638.953,2920.876
RBT04,0,78,643.263,2917.796
RBT04,0,79,647.73,2914.948
RBT04,0,80,652.341,2912.34
RBT04,0,81,657.083,2909.979
RBT04,0,82,661.943,2907.871
RBT04,0,83,666.907,2906.023
RBT04,0,84,671.962,2904.439
RBT04,0,85,677.094,2903.124
RBT04,0,86,682.288,2902.082
RBT04,0,87,687.529,2901.316
RBT04,0,88,692.804,2900.827
RBT04,0,89,698.097,2900.617
RBT04,0,90,703.394,2900.687
RBT04,0,91,708.68,2901.037
RBT04,0,92,713.94,2901.665
RBT04,0,93,719.16,2902.569
RBT04,0,94,724.324,2903.748
RBT04,0,95,729.42,2905.198
RBT04,0,96,734.431,2906.914
RBT04,0,97,739.345,2908.893
RBT04,0,98,744.148,2911.128
RBT04,0,99,748.826,2913.614
RBT04,0,100,753.366,2916.343
RBT04,0,101,757.756,2919.308
RBT04,0,102,761.984,2922.5
RBT04,0,103,766.037,2925.911
RBT04,0,104,769.904,2929.531
RBT04,0,105,773.575,2933.35
RBT04,0,106,777.039,2937.358
RBT04,0,107,780.287,2941.543
RBT04,0,108,783.31,2945.893
RBT04,0,109,786.098,2950.397
RBT04,0,110,788.645,2955.042
RBT04,0,111,790.944,2959.815
RBT04,0,112,792.987,2964.702
RBT04,0,113,794.77,2969.691
RBT04,0,114,796.287,2974.767
RBT04,0,115,797.534,2979.915
RBT04,0,116,798.507,2985.122
RBT04,0,117,799.204,2990.374
RBT04,0,118,799.623,2995.654
RBT04,0,119,799.763,3000.95
RBT05,0,0,1552.983,1774.482
RBT05,0,1,1552.753,1783.19
RBT05,0,2,1552.063,1791.873
RBT05,0,3,1550.917,1800.508
RBT05,0,4,1549.316,1809.071
