pair,alt,seq,x,y,risk,conflict
DB02_to_DK06#alt3,3,22,2900.0,1550.0,0.7165,0.0
DB02_to_DK06#alt3,3,23,2950.0,1500.0,0.8465,0.0
DB02_to_DK06#alt3,3,24,3000.0,1450.0,0.8465,0.0
DB02_to_DK06#alt3,3,25,3050.0,1450.0,0.7165,0.0
DB02_to_DK06#alt3,3,26,3100.0,1400.0,0.6065,0.0
DB02_to_DK06#alt3,3,27,3150.0,1350.0,0.5134,0.0
DB02_to_DK06#alt3,3,28,3200.0,1300.0,0.4346,0.0
DB02_to_DK06#alt3,3,29,3250.0,1300.0,0.3679,0.0
DB02_to_DK06#alt3,3,30,3300.0,1300.0,0.3114,0.0
DB02_to_DK06#alt3,3,31,3350.0,1300.0,0.2636,0.0
DB02_to_DK06#alt3,3,32,3400.0,1300.0,0.2231,0.0
DB02_to_DK06#alt3,3,33,3450.0,1250.0,0.1873,0.0
DB02_to_DK06#alt3,3,34,3500.0,1200.0,0.2057,0.0
DB02_to_DK06#alt3,3,35,3550.0,1200.0,0.2151,0.0
DB02_to_DK06#alt3,3,36,3600.0,1200.0,0.2211,0.0
DB02_to_DK06#alt4,4,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK06#alt4,4,1,1850.0,1050.0,0.0936,0.0
DB02_to_DK06#alt4,4,2,1900.0,1000.0,0.074,0.0
DB02_to_DK06#alt4,4,3,1950.0,1000.0,0.079,0.0
DB02_to_DK06#alt4,4,4,2000.0,950.0,0.0717,0.0
DB02_to_DK06#alt4,4,5,2050.0,900.0,0.064,0.0
DB02_to_DK06#alt4,4,6,2100.0,900.0,0.0681,0.0
DB02_to_DK06#alt4,4,7,2150.0,850.0,0.0717,0.0
DB02_to_DK06#alt4,4,8,2200.0,900.0,0.0904,0.0
DB02_to_DK06#alt4,4,9,2250.0,850.0,0.0936,0.0
DB02_to_DK06#alt4,4,10,2300.0,800.0,0.0947,0.0
DB02_to_DK06#alt4,4,11,2350.0,850.0,0.1199,0.0
DB02_to_DK06#alt4,4,12,2400.0,800.0,0.1199,0.0
DB02_to_DK06#alt4,4,13,2450.0,800.0,0.1344,0.0
DB02_to_DK06#alt4,4,14,2500.0,800.0,0.1495,0.0
DB02_to_DK06#alt4,4,15,2550.0,850.0,0.1889,0.0
DB02_to_DK06#alt4,4,16,2600.0,800.0,0.1798,0.0
DB02_to_DK06#alt4,4,17,2650.0,750.0,0.1661,0.0
DB02_to_DK06#alt4,4,18,2700.0,700.0,0.1495,0.0
DB02_to_DK06#alt4,4,19,2750.0,650.0,0.1551,0.0
DB02_to_DK06#alt4,4,20,2800.0,600.0,0.1937,0.0
DB02_to_DK06#alt4,4,21,2850.0,600.0,0.2252,0.0
DB02_to_DK06#alt4,4,22,2900.0,600.0,0.2609,0.0
DB02_to_DK06#alt4,4,23,2950.0,600.0,0.3006,0.0
DB02_to_DK06#alt4,4,24,3000.0,600.0,0.344,0.0
DB02_to_DK06#alt4,4,25,3050.0,650.0,0.344,0.0
DB02_to_DK06#alt4,4,26,3100.0,700.0,0.344,0.0
DB02_to_DK06#alt4,4,27,3150.0,700.0,0.3895,0.0
DB02_to_DK06#alt4,4,28,3200.0,700.0,0.4346,0.0
DB02_to_DK06#alt4,4,29,3250.0,750.0,0.4346,0.0
DB02_to_DK06#alt4,4,30,3300.0,800.0,0.4346,0.0
DB02_to_DK06#alt4,4,31,3350.0,850.0,0.4346,0.0
DB02_to_DK06#alt4,4,32,3400.0,900.0,0.4346,0.0
DB02_to_DK06#alt4,4,33,3450.0,950.0,0.4076,0.0
DB02_to_DK06#alt4,4,34,3500.0,1000.0,0.3784,0.0
DB02_to_DK06#alt4,4,35,3550.0,1050.0,0.3485,0.0
DB02_to_DK06#alt4,4,36,3600.0,1100.0,0.3077,0.0
DB02_to_DK06#alt4,4,37,3600.0,1150.0,0.2609,0.0
DB02_to_DK06#alt4,4,38,3600.0,1200.0,0.2211,0.0
DB02_to_DK06#alt5,5,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK06#alt5,5,1,1850.0,1150.0,0.1199,0.0
DB02_to_DK06#alt5,5,2,1900.0,1200.0,0.1335,0.0
DB02_to_DK06#alt5,5,3,1950.0,1200.0,0.1432,0.0
DB02_to_DK06#alt5,5,4,2000.0,1200.0,0.1551,0.0
DB02_to_DK06#alt5,5,5,2050.0,1200.0,0.1661,0.0
DB02_to_DK06#alt5,5,6,2100.0,1200.0,0.1755,0.0
DB02_to_DK06#alt5,5,7,2150.0,1150.0,0.1551,0.0
DB02_to_DK06#alt5,5,8,2200.0,1100.0,0.1344,0.0
DB02_to_DK06#alt5,5,9,2250.0,1100.0,0.1422,0.0
DB02_to_DK06#alt5,5,10,2300.0,1100.0,0.1661,0.0
DB02_to_DK06#alt5,5,11,2350.0,1100.0,0.1937,0.0
DB02_to_DK06#alt5,5,12,2400.0,1100.0,0.2252,0.0
DB02_to_DK06#alt5,5,13,2450.0,1100.0,0.2609,0.0
