route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,17,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,18,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,19,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,20,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,21,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,22,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,23,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,24,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,25,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,26,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,27,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,28,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,29,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,30,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,31,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
