node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
5005,2800.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
5006,2850.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
5007,2900.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
5008,2950.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
5009,3000.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5010,3050.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5011,3100.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5012,3150.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5013,3200.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5014,3250.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5015,3300.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5016,3350.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5017,3400.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5018,3450.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5019,3500.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5020,3550.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5021,3600.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5022,3650.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
