leg_id,lane,seq,x,y
BAK01__EXT02,A,58,4938.609476536529,1237.1551761385078
BAK01__EXT02,A,59,4944.088928591324,1228.935998056316
BAK01__EXT02,A,60,4949.5683806461175,1220.716819974124
BAK01__EXT02,A,61,4955.047832700912,1212.4976418919325
BAK01__EXT02,A,62,4960.527284755707,1204.2784638097407
BAK01__EXT02,A,63,4966.006736810501,1196.0592857275487
BAK01__EXT02,A,64,4971.486188865296,1187.840107645357
BAK01__EXT02,A,65,4976.965640920091,1179.6209295631654
BAK01__EXT02,A,66,4982.445092974885,1171.4017514809732
BAK01__EXT02,A,67,4987.924545029679,1163.1825733987816
BAK01__EXT02,A,68,4993.403997084474,1154.9633953165899
BAK01__EXT02,A,69,4998.883449139268,1146.7442172343979
BAK01__EXT02,A,70,5004.362901194063,1138.525039152206
BAK01__EXT02,A,71,5009.842353248858,1130.3058610700145
BAK01__EXT02,A,72,5015.321805303652,1122.0866829878225
BAK01__EXT02,A,73,5020.8012573584465,1113.8675049056308
BAK01__EXT02,B,0,4579.1987426415535,1686.1324950943692
BAK01__EXT02,B,1,4584.678194696348,1677.9133170121777
BAK01__EXT02,B,2,4590.157646751142,1669.6941389299855
BAK01__EXT02,B,3,4595.637098805937,1661.474960847794
BAK01__EXT02,B,4,4601.116550860732,1653.2557827656024
BAK01__EXT02,B,5,4606.596002915526,1645.0366046834101
BAK01__EXT02,B,6,4612.075454970321,1636.8174266012186
