t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
8320.0,38,2,169.9099527232212,258,0,37
8340.0,38,2,31.094444033302075,258,0,37
8360.0,38,3,6.886745887973966,258,0,37
8380.0,35,1,50.985756602725075,260,0,35
8400.0,34,1,95.76501200476756,261,0,34
8420.0,33,2,138.7319168148793,261,0,33
8440.0,35,2,94.34308858571433,261,0,35
8460.0,34,2,217.30792837516776,263,0,34
8480.0,33,2,25.74498892316165,264,0,33
8500.0,34,2,17.21294106823868,265,0,34
8520.0,34,2,31.34598397523821,265,0,34
8540.0,34,2,29.60484775922767,266,0,34
8560.0,33,2,13.322462557347407,267,0,33
8580.0,32,4,57.721248907783036,268,0,32
8600.0,33,4,102.50436418438719,268,0,33
8620.0,34,3,144.50765028749862,268,1,34
8640.0,32,2,178.9212105847796,271,1,32
8660.0,33,1,357.1389374237132,271,1,33
8680.0,33,1,395.13174962142983,271,1,33
8700.0,34,0,142.832113396696,271,1,34
8720.0,34,0,137.91386456591354,271,1,34
8740.0,36,0,134.6947397531902,271,0,36
8760.0,36,1,133.4772611401943,272,0,36
8780.0,35,0,133.22875607265712,273,0,35
8800.0,33,1,133.57513586009816,276,0,33
8820.0,35,1,134.7516704627693,276,0,35
8840.0,35,3,141.69102108898153,276,1,35
8860.0,35,1,158.0389151302159,277,1,35
8880.0,34,0,59.60883324884091,278,1,34
8900.0,33,1,0.831999846210424,281,0,33
8920.0,33,3,38.25080034507986,282,0,33
8940.0,33,3,40.80573368870612,282,0,33
8960.0,33,3,50.34475500382749,283,0,33
8980.0,34,3,73.73361154170242,283,1,34
9000.0,34,3,113.11821724646862,284,1,33
9020.0,35,2,159.02859525343482,284,1,34
9040.0,35,2,144.7929816339589,285,1,34
9060.0,36,2,112.49158552196971,285,1,35
9080.0,34,3,100.70487110659998,285,1,33
9100.0,34,1,79.75481063049388,285,0,33
9120.0,34,0,59.82736182724715,285,0,33
9140.0,34,1,49.375800755903576,285,0,33
9160.0,35,1,49.17869309035798,285,0,34
9180.0,35,1,58.62365550353473,285,0,34
9200.0,33,1,127.03927402657717,287,0,32
9220.0,31,1,129.86536752014152,289,0,30
9240.0,30,2,135.59373065755372,289,0,29
9260.0,30,4,142.5268751699675,289,0,29
9280.0,31,5,151.01551710330452,289,0,30
9300.0,32,3,184.5556040867344,289,0,31
9320.0,32,2,184.64346779081038,290,0,31
9340.0,31,2,184.0629456449414,291,0,30
9360.0,32,2,185.89646019156942,291,0,31
9380.0,33,1,170.34635861848864,291,0,32
9400.0,32,2,13.334756389851696,292,0,31
9420.0,34,1,1.2748847722711905,292,0,33
9440.0,34,0,11.596626265356152,292,0,33
9460.0,35,1,38.06913070296527,293,1,34
9480.0,36,0,28.30696000053409,293,2,35
9500.0,39,1,5.521904751336806,294,1,38
9520.0,41,0,21.22594519910846,294,1,40
9540.0,41,1,35.81050751025618,295,1,40
9560.0,40,2,58.819097041519235,296,0,39
9580.0,40,2,80.31453429282945,296,0,39
9600.0,41,1,96.13872146869599,297,0,40
9620.0,42,1,111.89245623699203,297,0,41
9640.0,43,0,72.61706667902591,297,0,42
9660.0,43,0,74.95636701122926,298,0,42
9680.0,43,0,57.3627015831021,298,0,42
9700.0,45,1,51.752331292557784,298,1,44
9720.0,46,2,32.34452810349103,299,0,45
9740.0,43,1,149.18455340674706,302,0,42
9760.0,43,2,197.44658221994422,302,0,42
9780.0,43,2,95.57759436780324,302,0,42
9800.0,41,2,184.26395847760568,302,0,40
9820.0,41,3,186.46114029194732,302,0,40
9840.0,41,4,198.39694863467471,302,0,40
9860.0,41,3,202.59828908309882,302,0,40
9880.0,40,3,211.92330087777017,303,0,39
9900.0,40,2,147.24678860787162,303,0,39
9920.0,39,2,179.76013612903364,304,0,38
9940.0,39,1,138.13306865679112,305,0,38
9960.0,41,1,132.75496159644226,305,0,40
9980.0,41,1,213.7785476751159,306,0,40
10000.0,39,1,213.909044314441,308,1,38
10020.0,40,3,176.59232499407406,309,1,39
10040.0,38,2,107.11441986286995,311,1,37
10060.0,39,5,34.25023662319111,312,1,38
10080.0,43,3,34.45084649667005,312,0,42
10100.0,41,3,34.052020210443054,312,0,40
10120.0,42,4,236.56451801322117,313,0,41
10140.0,43,3,180.31168555038394,313,0,42
10160.0,45,5,44.26112629403234,313,0,44
10180.0,44,6,63.01892972405996,313,0,44
10200.0,44,7,114.0227787171436,313,1,44
10220.0,43,5,153.08079237499226,314,1,43
10240.0,42,5,139.6715990869525,315,0,42
10260.0,42,6,108.91261642886555,315,0,42
10280.0,45,5,71.59994940294402,315,0,45
10300.0,45,5,50.07202964302623,315,0,45
10320.0,46,5,1.5248486737952156,316,0,46
10340.0,47,5,56.56132093073914,316,0,47
10360.0,46,4,111.29420278971902,316,0,46
10380.0,45,5,107.10131010516349,317,1,45
10400.0,47,4,55.04234740325811,317,0,47
10420.0,47,2,55.433387920392136,317,0,47
10440.0,44,6,55.15257711561425,319,1,44
10460.0,43,7,70.28922471186618,321,1,43
10480.0,44,7,29.172235470521976,321,0,44
10500.0,45,7,54.07125915818108,321,0,45
10520.0,45,5,60.92667630693952,321,1,45
10540.0,46,4,70.28922471186618,321,0,46
10560.0,45,5,82.57507907511084,322,0,45
10580.0,44,5,48.35923785322158,323,0,44
10600.0,43,5,132.75364930939665,324,0,43
10620.0,43,3,198.14587643487462,324,0,43
10640.0,42,6,163.99347883339618,325,0,42
10660.0,43,9,74.99208124177687,325,0,43
10680.0,42,9,50.03733413685899,327,0,42
10700.0,42,6,122.45143055373023,328,0,42
10720.0,45,3,130.86112766959235,329,0,45
10740.0,44,3,143.52300881898537,330,0,44
10760.0,44,2,162.15532309063715,331,1,44
10780.0,45,3,191.60943059687168,331,0,45
10800.0,45,3,204.05627463050672,331,0,44
10820.0,46,3,191.58092987574693,331,0,45
10840.0,45,6,37.97030957465129,331,0,44
10860.0,45,3,35.14721884022555,331,0,44
10880.0,47,2,37.33062369286991,331,0,46
10900.0,46,2,44.835711713160684,332,0,45
10920.0,46,4,67.23591947956342,332,0,45
10940.0,45,2,124.95088707392419,333,0,44
10960.0,45,3,312.3242570443219,333,0,44
10980.0,42,3,266.47357336652055,335,0,41
11000.0,43,3,223.69399749972612,335,0,42
11020.0,44,3,248.86727354114092,335,1,43
11040.0,45,2,238.04051001850502,335,1,44
11060.0,43,1,62.3131215878513,337,2,42
11080.0,42,3,87.19917748463965,339,2,41
11100.0,42,3,83.5761159025233,340,2,41
11120.0,43,2,81.67808889301743,340,1,42
11140.0,44,4,80.92782813930546,340,1,43
11160.0,43,5,87.81120041379964,341,1,42
11180.0,43,5,57.68927284471786,341,1,42
11200.0,45,7,14.81633014689036,341,1,44
11220.0,44,5,76.3083468375088,343,1,43
11240.0,44,7,114.55156110002913,343,1,43
11260.0,42,7,36.47981151334193,344,1,41
11280.0,42,7,182.6387095669138,346,0,41
11300.0,42,9,170.55210885050934,346,0,41
11320.0,42,5,178.44850910637882,347,0,41
11340.0,40,3,152.37220606672992,348,0,39
11360.0,41,3,140.54257842582925,348,0,40
11380.0,43,2,131.5609504668152,348,0,42
11400.0,42,3,127.16548488592849,349,0,41
11420.0,41,2,128.23509526758022,349,0,40
11440.0,41,2,88.38039656986221,350,0,40
11460.0,37,0,80.57654917219647,355,0,36
11480.0,38,0,98.1953432838422,355,0,37
11500.0,39,3,105.39053412790022,355,0,38
11520.0,40,3,93.00122645825066,355,0,39
11540.0,39,2,84.68383988278295,355,0,38
11560.0,41,2,74.72678103680687,355,0,40
11580.0,42,3,74.9162406492738,356,0,41
11600.0,43,3,82.40565410761197,357,0,42
11620.0,43,4,173.9290846353578,358,0,42
11640.0,42,3,160.25844478158635,359,0,41
11660.0,42,1,140.67195996188067,359,0,41
11680.0,43,0,124.94103480588682,359,0,42
