t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
13760.0,434,560,19.02,802.6,4205.8,DB01__TN2#B,DB01__TN7#B,3
13780.0,434,560,21.87,784.6,4194.2,DB01__TN2#B,DB01__TN7#B,3
13840.0,325,373,4.11,222.1,2447.5,RBT10#RING,RBT10__RBT16#B,4
14100.0,572,590,23.39,2360.6,522.3,DB02__TN8#A,DB02__RBT02#A,5
14120.0,754,568,49.2,1941.1,1495.1,RBT04#RING,TN5__RBT04#A,0
14160.0,594,596,9.62,2161.3,603.3,DB02__TN8#A,DB02__RBT02#A,5
14220.0,325,614,40.52,2108.8,632.4,DB02__TN5#B,DB02__RBT02#A,5
14220.0,325,616,25.72,2101.6,636.0,DB02__TN5#B,DB02__TN8#A,5
14220.0,614,616,16.14,2115.9,621.7,DB02__RBT02#A,DB02__TN8#A,5
14240.0,614,616,26.96,2172.5,598.3,DB02__RBT02#A,DB02__TN8#A,5
14260.0,241,295,45.86,789.3,4183.7,DK01__DB01#B,DB01__TN7#B,3
14260.0,614,616,36.68,2244.8,568.7,DB02__RBT02#A,DB02__TN8#A,5
14280.0,754,568,5.98,1950.8,1469.3,RBT04#RING,TN5__RBT04#A,0
14280.0,614,616,45.78,2334.7,531.8,DB02__RBT02#A,DB02__TN8#A,5
14380.0,257,570,38.92,2020.4,1428.0,RBT04#RING,DB02__RBT04#A,1
14400.0,421,644,8.38,2114.5,621.1,DB02__TN5#B,DB02__TN8#A,5
14460.0,584,319,44.76,835.3,4231.6,DB01__TN2#B,DB01__TN7#B,3
14480.0,584,319,29.29,819.6,4217.8,DB01__TN2#B,DB01__TN7#B,3
14500.0,584,319,16.1,803.8,4203.9,DB01__TN2#B,DB01__TN7#B,3
14520.0,584,319,15.26,787.7,4189.7,DB01__TN2#B,DB01__TN7#B,3
14520.0,644,664,32.67,2761.8,347.8,TN8__RBT02#A,DB02__RBT02#A,5
14540.0,644,664,42.96,2975.1,241.7,TN8__RBT02#A,DB02__RBT02#A,5
14600.0,470,357,25.36,2254.0,2775.1,DK05__RBT13#B,DK05__RBT07#A,3
14700.0,329,405,30.77,2278.0,2794.6,DK05__RBT17#B,DK05__RBT04#A,4
14820.0,279,666,34.74,1985.9,1439.4,RBT04#RING,DB02__RBT04#A,1
14840.0,494,309,22.42,2028.4,1628.1,RBT04#RING,RBT04__RBT07#B,4
14840.0,279,666,20.63,2011.2,1428.6,RBT04#RING,DB02__RBT04#A,1
14840.0,640,664,30.74,3851.5,1467.8,RBT05#RING,TN13__RBT05#A,1
14860.0,494,309,31.21,2002.5,1622.4,RBT04#RING,RBT04__RBT07#B,4
14900.0,271,602,12.66,713.9,4212.3,DB01__RBT15#B,DB01__TN12#A,1
14920.0,271,602,48.11,706.0,4228.9,DB01__RBT15#B,DB01__TN12#A,1
14960.0,618,415,42.2,1259.9,2630.8,DK04__RBT06#B,DK04__RBT12#A,1
15160.0,329,381,30.63,2032.6,1627.9,RBT04#RING,RBT04__RBT07#B,4
15220.0,804,415,45.95,1484.0,2962.9,RBT07__RBT12#A,RBT12#RING,1
15240.0,804,415,13.01,1499.9,2958.1,RBT07__RBT12#A,RBT12#RING,1
15260.0,804,415,22.35,1517.5,2958.9,RBT07__RBT12#A,RBT12#RING,1
15400.0,828,463,49.57,150.5,3242.2,RBT16#RING,RBT11__RBT16#A,1
15600.0,800,331,48.18,1254.7,1864.9,TN10__RBT06#A,RBT06#RING,5
15760.0,562,802,26.68,778.4,4180.9,DB01__TN2#B,DK01__DB01#B,3
15880.0,415,315,47.67,842.0,4229.8,DB01__TN7#B,DB01__TN2#B,3
15900.0,415,315,45.3,824.8,4213.8,DB01__TN7#B,DB01__TN2#B,3
15940.0,347,826,21.79,738.2,4221.0,DK01__DB01#A,DB01__TN7#A,0
15940.0,415,315,45.78,796.3,4190.9,DB01__TN7#B,DB01__TN2#B,3
15960.0,347,826,34.28,746.0,4224.2,DK01__DB01#A,DB01__TN7#A,0
15960.0,415,315,29.43,788.6,4188.0,DB01__TN7#B,DB01__TN2#B,3
15980.0,347,826,49.05,753.9,4227.0,DK01__DB01#A,DB01__TN7#A,0
15980.0,415,315,13.32,780.7,4185.2,DB01__TN7#B,DB01__TN2#B,3
16000.0,415,315,7.25,772.7,4182.2,DB01__TN7#B,DB01__TN2#B,3
16020.0,415,315,22.71,764.6,4180.6,DB01__TN7#B,DB01__TN2#B,3
16200.0,656,315,36.99,792.2,4189.4,DB01__TN7#B,DB01__TN2#B,3
16220.0,656,315,20.77,784.4,4186.5,DB01__TN7#B,DB01__TN2#B,3
16220.0,347,674,26.99,743.4,4221.5,DK01__DB01#A,DB01__TN2#A,0
16240.0,656,315,6.18,776.4,4183.6,DB01__TN7#B,DB01__TN2#B,3
16240.0,347,676,23.09,738.9,4221.5,DK01__DB01#A,DB01__TN7#A,0
16240.0,674,676,39.69,756.5,4246.2,DB01__TN2#A,DB01__TN7#A,0
16260.0,656,315,14.94,768.5,4180.8,DB01__TN7#B,DB01__TN2#B,3
16260.0,347,676,45.48,752.0,4226.3,DK01__DB01#A,DB01__TN7#A,0
16280.0,315,698,24.16,770.9,4169.5,DB01__TN2#B,DK01__DB01#B,3
16340.0,249,347,1.25,736.1,4210.9,DB01__TN2#A,DK01__DB01#A,0
16440.0,610,752,43.2,815.2,4219.7,DB01__TN7#B,DB01__TN2#B,3
16460.0,610,752,22.01,797.8,4203.5,DB01__TN7#B,DB01__TN2#B,3
16480.0,610,752,3.02,779.9,4187.0,DB01__TN7#B,DB01__TN2#B,3
16620.0,864,888,49.02,707.5,4221.2,DB01__TN1#A,DB01__RN3#A,2
16760.0,668,401,43.89,2277.6,2797.9,DK05__RBT04#A,DK05__RBT17#B,4
16780.0,363,888,17.28,661.5,4358.0,DB01__TN1#B,DB01__RN3#B,5
16800.0,363,888,6.36,702.1,4308.0,DB01__TN1#B,DB01__RN3#B,5
16820.0,363,888,11.7,733.4,4280.9,DB01__TN1#B,DB01__RN3#B,5
16840.0,363,888,15.59,751.4,4251.4,DB01__TN1#B,DB01__RN3#B,5
16940.0,870,894,43.31,637.7,4302.0,DB01__TN1#A,DB01__RN3#A,2
16960.0,870,894,24.11,598.7,4354.1,DB01__TN1#A,DB01__RN3#A,2
16980.0,511,898,21.1,739.5,4216.0,DK01__DB01#A,DB01__TN2#A,0
17000.0,874,898,40.89,785.7,4253.8,DB01__TN7#A,DB01__TN2#A,0
17020.0,642,668,6.82,2013.9,1626.9,RBT04__RBT07#B,RBT04#RING,4
17020.0,874,898,40.12,804.1,4271.2,DB01__TN7#A,DB01__TN2#A,0
17220.0,299,894,28.95,385.7,2965.5,RBT11#RING,RBT11__RBT16#B,4
17220.0,580,393,40.37,823.5,4214.1,DB01__TN7#B,DB01__TN2#B,3
17240.0,580,393,30.28,798.4,4195.0,DB01__TN7#B,DB01__TN2#B,3
17260.0,700,724,18.74,740.2,4223.6,DB01__TN7#A,DB01__TN2#A,0
17280.0,700,724,30.06,760.9,4236.4,DB01__TN7#A,DB01__TN2#A,0
17300.0,700,724,48.84,781.6,4248.7,DB01__TN7#A,DB01__TN2#A,0
17440.0,918,922,40.33,208.7,3440.8,RBT16#RING,DK01__RBT16#A,4
