route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DK01_to_DK02_backward_backup_01,DK01_to_DK02,backward_backup_01,backward,backup,1,5514.823227814083,91,1,0,0:0.527
DK01_to_DK02_backward_backup_02,DK01_to_DK02,backward_backup_02,backward,backup,2,3476.3455967290597,61,1,0,0:0.262
DK01_to_DK02_backward_main_01,DK01_to_DK02,backward_main_01,backward,main,1,5161.26983722081,86,1,0,0:0.942
DK01_to_DK02_backward_main_02,DK01_to_DK02,backward_main_02,backward,main,2,3093.5028842544407,55,1,0,0:0.855
DK01_to_DK02_backward_main_04,DK01_to_DK02,backward_main_04,backward,main,4,2788.477631085024,46,1,0,0:0.739
DK01_to_DK02_forward_backup_01,DK01_to_DK02,forward_backup_01,forward,backup,1,3064.2135623730956,54,1,0,0:0.852
DK01_to_DK02_forward_backup_02,DK01_to_DK02,forward_backup_02,forward,backup,2,3305.634918610405,58,1,0,0:0.879
DK01_to_DK02_forward_backup_03,DK01_to_DK02,forward_backup_03,forward,backup,3,4454.163056034262,76,1,0,0:0.263
DK01_to_DK02_forward_main_01,DK01_to_DK02,forward_main_01,forward,main,1,2964.2135623730956,52,1,0,0:0.962
DK01_to_DK02_forward_main_02,DK01_to_DK02,forward_main_02,forward,main,2,3264.213562373095,58,1,0,0:0.586
DK01_to_DK02_forward_main_03,DK01_to_DK02,forward_main_03,forward,main,3,3547.056274847714,62,1,0,0:0.258
DK01_to_DK03_backward_backup_01,DK01_to_DK03,backward_backup_01,backward,backup,1,3984.9242404917504,72,1,0,0:0.875
DK01_to_DK03_backward_backup_02,DK01_to_DK03,backward_backup_02,backward,backup,2,10440.559159102155,192,2,1;0,1:0.016;0:0.099
DK01_to_DK03_backward_backup_03,DK01_to_DK03,backward_backup_03,backward,backup,3,1619.238815542512,28,1,0,0:0.607
DK01_to_DK03_backward_backup_04,DK01_to_DK03,backward_backup_04,backward,backup,4,10835.533905932738,197,2,1;0,1:0.015;0:0.071
DK01_to_DK03_backward_main_01,DK01_to_DK03,backward_main_01,backward,main,1,3814.2135623730956,69,1,0,0:0.580
DK01_to_DK03_backward_main_02,DK01_to_DK03,backward_main_02,backward,main,2,10199.137802864847,188,2,1;0,1:0.021;0:0.074
DK01_to_DK03_backward_main_03,DK01_to_DK03,backward_main_03,backward,main,3,1560.6601717798212,26,1,0,0:0.846
DK01_to_DK03_backward_main_04,DK01_to_DK03,backward_main_04,backward,main,4,10581.980515339463,194,2,1;0,1:0.010;0:0.052
DK01_to_DK03_forward_backup_01,DK01_to_DK03,forward_backup_01,forward,backup,1,1560.6601717798212,26,1,0,0:0.538
DK01_to_DK03_forward_backup_02,DK01_to_DK03,forward_backup_02,forward,backup,2,9337.615433949868,160,2,0;1,0:0.150;1:0.013
DK01_to_DK03_forward_backup_03,DK01_to_DK03,forward_backup_03,forward,backup,3,1560.6601717798212,26,1,0,0:0.846
DK01_to_DK03_forward_backup_04,DK01_to_DK03,forward_backup_04,forward,backup,4,1648.528137423857,29,1,0,0:0.483
DK01_to_DK03_forward_main_01,DK01_to_DK03,forward_main_01,forward,main,1,1531.370849898476,25,1,0,0:0.640
DK01_to_DK03_forward_main_02,DK01_to_DK03,forward_main_02,forward,main,2,9025.483399593904,155,2,1;0,1:0.006;0:0.374
DK01_to_DK03_forward_main_03,DK01_to_DK03,forward_main_03,forward,main,3,1589.9494936611668,27,1,0,0:0.556
DK01_to_DK03_forward_main_04,DK01_to_DK03,forward_main_04,forward,main,4,1619.238815542512,28,1,0,0:0.607
DK01_to_DK04_backward_backup_01,DK01_to_DK04,backward_backup_01,backward,backup,1,4728.427124746191,79,1,0,0:0.582
DK01_to_DK04_backward_main_01,DK01_to_DK04,backward_main_01,backward,main,1,4628.427124746191,77,1,0,0:0.688
DK01_to_DK04_backward_main_03,DK01_to_DK04,backward_main_03,backward,main,3,3204.163056034262,51,1,0,0:0.451
DK01_to_DK04_backward_main_04,DK01_to_DK04,backward_main_04,backward,main,4,3204.163056034262,51,1,0,0:0.451
DK01_to_DK04_forward_backup_01,DK01_to_DK04,forward_backup_01,forward,backup,1,4294.112549695428,67,1,0,0:0.582
DK01_to_DK04_forward_backup_02,DK01_to_DK04,forward_backup_02,forward,backup,2,4757.716446627536,80,1,0,0:0.375
DK01_to_DK04_forward_main_01,DK01_to_DK04,forward_main_01,forward,main,1,4252.6911934581185,67,1,0,0:0.537
DK01_to_DK04_forward_main_02,DK01_to_DK04,forward_main_02,forward,main,2,4857.716446627535,82,1,0,0:0.463
DK01_to_DK04_forward_main_04,DK01_to_DK04,forward_main_04,forward,main,4,3204.163056034262,51,1,0,0:0.451
DK01_to_DK05_backward_backup_01,DK01_to_DK05,backward_backup_01,backward,backup,1,5268.3766184073575,84,1,0,0:0.571
DK01_to_DK05_backward_backup_02,DK01_to_DK05,backward_backup_02,backward,backup,2,2327.8174593052026,43,1,0,0:0.535
DK01_to_DK05_backward_main_01,DK01_to_DK05,backward_main_01,backward,main,1,5026.955262170048,80,1,0,0:0.850
DK01_to_DK05_backward_main_02,DK01_to_DK05,backward_main_02,backward,main,2,2398.5281374238575,44,1,0,0:0.977
DK01_to_DK05_backward_main_04,DK01_to_DK05,backward_main_04,backward,main,4,1793.5028842544402,29,1,0,0:0.310
DK01_to_DK05_forward_backup_01,DK01_to_DK05,forward_backup_01,forward,backup,1,2439.9494936611663,44,1,0,0:0.932
DK01_to_DK05_forward_backup_02,DK01_to_DK05,forward_backup_02,forward,backup,2,2610.660171779821,47,1,0,0:1.000
