pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt4,4,34,3700.0,1700.0,0.4346,0.0
DB02_to_DK05#alt4,4,35,3700.0,1750.0,0.3679,0.0
DB02_to_DK05#alt4,4,36,3700.0,1800.0,0.3114,0.0
DB02_to_DK05#alt4,4,37,3650.0,1850.0,0.3628,0.0
DB02_to_DK05#alt4,4,38,3600.0,1900.0,0.4076,0.0
DB02_to_DK05#alt4,4,39,3550.0,1950.0,0.4346,0.0
DB02_to_DK05#alt4,4,40,3500.0,2000.0,0.4746,0.0
DB02_to_DK05#alt4,4,41,3450.0,2050.0,0.4931,0.0
DB02_to_DK05#alt4,4,42,3400.0,2100.0,0.4931,0.0
DB02_to_DK05#alt4,4,43,3350.0,2150.0,0.4931,0.0
DB02_to_DK05#alt4,4,44,3300.0,2200.0,0.4746,0.0
DB02_to_DK05#alt4,4,45,3250.0,2250.0,0.4275,0.0
DB02_to_DK05#alt4,4,46,3200.0,2300.0,0.3679,0.0
DB02_to_DK05#alt4,4,47,3150.0,2350.0,0.3114,0.0
DB02_to_DK05#alt4,4,48,3100.0,2400.0,0.2636,0.0
DB02_to_DK05#alt4,4,49,3050.0,2450.0,0.3114,0.0
DB02_to_DK05#alt4,4,50,3000.0,2500.0,0.3679,0.0
DB02_to_DK05#alt4,4,51,2950.0,2550.0,0.4275,0.0
DB02_to_DK05#alt4,4,52,2900.0,2600.0,0.4746,0.0
DB02_to_DK05#alt4,4,53,2850.0,2650.0,0.4931,0.0
DB02_to_DK05#alt4,4,54,2800.0,2700.0,0.503,0.0
DB02_to_DK05#alt4,4,55,2800.0,2750.0,0.4746,0.0
DB02_to_DK05#alt4,4,56,2750.0,2800.0,0.4931,0.0
DB02_to_DK05#alt4,4,57,2700.0,2850.0,0.4931,0.0
DB02_to_DK05#alt4,4,58,2650.0,2900.0,0.4746,0.0
DB02_to_DK05#alt4,4,59,2600.0,2900.0,0.503,0.0
DB02_to_DK05#alt4,4,60,2550.0,2900.0,0.5134,0.0
DB02_to_DK05#alt4,4,61,2500.0,2900.0,0.503,0.0
DB02_to_DK05#alt4,4,62,2450.0,2900.0,0.4746,0.0
DB02_to_DK05#alt4,4,63,2400.0,2850.0,0.4931,0.0
DB02_to_DK05#alt4,4,64,2350.0,2850.0,0.4346,0.0
DB02_to_DK05#alt4,4,65,2300.0,2850.0,0.4076,0.0
DB02_to_DK05#alt4,4,66,2250.0,2800.0,0.4346,0.0
DB02_to_DK05#alt4,4,67,2250.0,2750.0,0.4931,0.0
DB02_to_DK05#alt5,5,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt5,5,1,2100.0,600.0,0.3784,0.0
DB02_to_DK05#alt5,5,2,2050.0,550.0,0.3006,0.0
DB02_to_DK05#alt5,5,3,2000.0,500.0,0.2384,0.0
